Product Name,Product Price,Product Link
"in base Urban PRO 2 Smartwatch with Bluetooth Calling (43.18mm IPS TFT Display, IPX67 Water Resistant, Black Strap)","₹6,999",/in-base-urban-pro-2-smartwatch-with-bluetooth-calling-43-18mm-ips-tft-display-ipx67-water-resistant-black-strap-/p/260046
"STYX Neo Smartwatch with Health Monitoring (39.4mm IPS Color Display, IP68 Water Resistant, Frost Silver Strap)","₹1,895",/styx-neo-smartwatch-with-health-monitoring-39-4mm-ips-color-display-ip68-water-resistant-frost-silver-strap-/p/240552
"in base Urban Pro Z Smartwatch with Bluetooth Calling (46.9mm HD Display, IP67 Water Resistant, Black Strap)","₹9,999",/in-base-urban-pro-z-smartwatch-with-bluetooth-calling-46-9mm-hd-display-ip67-water-resistant-black-strap-/p/268216
"maxima Max Pro X2 Smartwatch with Activity Tracker (35mm TFT IPS Ultra Retina Display, IP68 Water Resistant, Black Strap)","₹4,999",/maxima-max-pro-x2-smartwatch-with-activity-tracker-35mm-tft-ips-ultra-retina-display-ip68-water-resistant-black-strap-/p/256157
"noise ColorFit Pulse Go Buzz Smartwatch with Bluetooth Calling (42.92mm LCD Display, IP68 Water Resistant, Jet Black Strap)","₹4,999",/noise-colorfit-pulse-go-buzz-smartwatch-with-bluetooth-calling-42-92mm-lcd-display-ip68-water-resistant-jet-black-strap-/p/270835
"eOnz North Edge Smartwatch with Health Monitoring (33.02mm Display, IP67 Waterproof, Black Strap)","₹1,094",/eonz-north-edge-smartwatch-with-health-monitoring-33-02mm-display-ip67-waterproof-black-strap-/p/242422
"hungama HiLife G1 Smartwatch with Bluetooth Calling (44mm HD Display, IP67 Water Proof, Black Strap)","₹9,999",/hungama-hilife-g1-smartwatch-with-bluetooth-calling-44mm-hd-display-ip67-water-proof-black-strap-/p/262870
"eOnz North Edge X Brick Smartwatch with Activity Tracker (39.11mm HD Display, IP67 Waterproof, Black Strap)","₹2,799",/eonz-north-edge-x-brick-smartwatch-with-activity-tracker-39-11mm-hd-display-ip67-waterproof-black-strap-/p/242429
"JUST CORSECA Stayfit J!VE Smartwatch with Activity Tracker (42.92mm HD Display, IP67 Waterproof, Mystic Black Strap)","₹8,699",/just-corseca-stayfit-j-ve-smartwatch-with-activity-tracker-42-92mm-hd-display-ip67-waterproof-mystic-black-strap-/p/259497
"PORTRONICS Kronos X1 Smartwatch with Activity Tracker (43.18mm Digital Display, IP67 Water Resistant, Grey Strap)","₹4,999",/portronics-kronos-x1-smartwatch-with-activity-tracker-43-18mm-digital-display-ip67-water-resistant-grey-strap-/p/253437
"Fitshot Grip Smartwatch with Upto 7 Days Battery Life (42.92mm IPS LCD Display, IP68 Waterproof, Black Strap)","₹4,299",/fitshot-grip-smartwatch-with-upto-7-days-battery-life-42-92mm-ips-lcd-display-ip68-waterproof-black-strap-/p/248234
"noise ColorFit Ultra Buzz Smartwatch with Bluetooth Calling (44.45mm LCD Display, IP68 Water Resistant, Champagne Grey Strap)","₹5,999",/noise-colorfit-ultra-buzz-smartwatch-with-bluetooth-calling-44-45mm-lcd-display-ip68-water-resistant-champagne-grey-strap-/p/252369
"LG 6 in 1 Convertible 1.5 Ton 4 Star Dual Inverter Split Smart AC (2022 Model, Copper Condenser, PS-Q19SWYF)","₹45,190",/lg-6-in-1-convertible-1-5-ton-4-star-dual-inverter-split-smart-ac-2022-model-copper-condenser-ps-q19swyf-/p/246594
"maxima Max Pro X4 Smartwatch with Activity Tracker (33.02mm IPS TFT Display, IP68 Water Resistant, Blue Strap)","₹5,999",/maxima-max-pro-x4-smartwatch-with-activity-tracker-33-02mm-ips-tft-display-ip68-water-resistant-blue-strap-/p/256151
"FIRE-BOLTT Dazzle Plus BSW037 Smartwatch with Activity Tracker (46mm HD Display, IP68 Water Resistant, Beige Strap)","₹11,999",/fire-boltt-dazzle-plus-bsw037-smartwatch-with-activity-tracker-46mm-hd-display-ip68-water-resistant-beige-strap-/p/267118
"PORTRONICS Ilumi Electric Powered/Battery Powered 3 Watt Lamp Shade (POR 719, White)","₹1,334",/portronics-ilumi-electric-powered-battery-powered-3-watt-lamp-shade-por-719-white-/p/222622
"in base Urban LYF M Smartwatch with Activity Tracker (42.92mm IPS Display, IPX67 Water Resistant, Grey Strap)","₹6,999",/in-base-urban-lyf-m-smartwatch-with-activity-tracker-42-92mm-ips-display-ipx67-water-resistant-grey-strap-/p/251530
"noise ColorFit Vision Buzz Smartwatch with Bluetooth Calling (44.45mm TFT LCD Display, Water Resistant, Black Strap)","₹5,999",/noise-colorfit-vision-buzz-smartwatch-with-bluetooth-calling-44-45mm-tft-lcd-display-water-resistant-black-strap-/p/258724
"wipro 12.5 Watts Electric Powered LED Bulb (1200 Lumens, NS1220, White)",₹824,/wipro-12-5-watts-electric-powered-led-bulb-1200-lumens-ns1220-white-/p/263970
"PORTRONICS Kronos Y1 Smartwatch with Bluetooth Calling (44.45mm HD Display, IP67 Splash Resistant, Grey Strap)","₹5,999",/portronics-kronos-y1-smartwatch-with-bluetooth-calling-44-45mm-hd-display-ip67-splash-resistant-grey-strap-/p/250351
"FIRE-BOLTT Beast Smartwatch with Fitness & Health Tracking (42.9mm HD Display, IP67 Water Resistant, Blue)","₹7,999",/fire-boltt-beast-smartwatch-with-fitness-health-tracking-42-9mm-hd-display-ip67-water-resistant-blue-/p/238817
"noise ColorFit Ultra Buzz Smartwatch with Bluetooth Calling (44.45mm LCD Display, IP68 Water Resistant, Charcoal Black Strap)","₹5,999",/noise-colorfit-ultra-buzz-smartwatch-with-bluetooth-calling-44-45mm-lcd-display-ip68-water-resistant-charcoal-black-strap-/p/252368
"DAIKIN Smart+ Series 1 Ton 5 Star Inverter Split Smart AC with Voice Assistant (Copper Condenser, FTKR35UV)","₹42,290",/daikin-smart+-series-1-ton-5-star-inverter-split-smart-ac-with-voice-assistant-copper-condenser-ftkr35uv-/p/248166
"SAMSUNG Bespoke 936 Litres Frost Free French Door Smart Wi-Fi Enabled Refrigerator with Water Dispenser (RF90A92W3AP/TL, Glam White/Glam Pink)","₹3,72,300",/samsung-bespoke-936-litres-frost-free-french-door-smart-wi-fi-enabled-refrigerator-with-water-dispenser-rf90a92w3ap-tl-glam-white-glam-pink-/p/263043
"in base Urban Lite X Smartwatch with Activity Tracker (40.64mm IPS LCD Display, IPX68 Water Resistant, Red Strap)","₹5,999",/in-base-urban-lite-x-smartwatch-with-activity-tracker-40-64mm-ips-lcd-display-ipx68-water-resistant-red-strap-/p/251534
Panasonic MS Series 108 cm (43 inch) Full HD LED Smart Google TV with Dolby Digital,"₹32,490",/panasonic-ms-series-108-cm-43-inch-full-hd-led-smart-google-tv-with-dolby-digital/p/273070
"Fire-Boltt Mercury BSW006 Smartwatch with Camera & Music Control (45mm HD Display, IP67 Water Resistant, Blue Strap)","₹7,999",/fire-boltt-mercury-bsw006-smartwatch-with-camera-music-control-45mm-hd-display-ip67-water-resistant-blue-strap-/p/257332
SONY Bravia 164 cm (65 inch) OLED 4K Ultra HD Google TV with Cognitive Processor XR (2023 model),"₹2,42,240",/sony-bravia-164-cm-65-inch-oled-4k-ultra-hd-google-tv-with-cognitive-processor-xr-2023-model-/p/272234
PHILIPS 8200 Series 126 cm (50 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),"₹64,990",/philips-8200-series-126-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/232748
"DEVIALET Mania Opera de Paris with Built-in Alexa Smart Wi-Fi Speaker (Active Stereo Calibration, Gold)","₹1,12,000",/devialet-mania-opera-de-paris-with-built-in-alexa-smart-wi-fi-speaker-active-stereo-calibration-gold-/p/272780
"noise ColorFit Pro 3 Smartwatch with Activity Tracker (39.37mm TFT LCD Display, 5ATM Water Resistant, Jet Blue Strap)","₹5,999",/noise-colorfit-pro-3-smartwatch-with-activity-tracker-39-37mm-tft-lcd-display-5atm-water-resistant-jet-blue-strap-/p/235000
"noise ColorFit Pro 2 Smartwatch with Activity Tracker (33mm LCD Display, IP68 Waterproof, Teal Green Strap)","₹4,999",/noise-colorfit-pro-2-smartwatch-with-activity-tracker-33mm-lcd-display-ip68-waterproof-teal-green-strap-/p/241246
"FIRE-BOLTT Celcius BSW059 Smartwatch with Activity Tracker (48.5mm Display, IP67 Water Resistant, Black Strap)","₹9,999",/fire-boltt-celcius-bsw059-smartwatch-with-activity-tracker-48-5mm-display-ip67-water-resistant-black-strap-/p/265324
"TATA POWER EZ HOME 16 Amps Relay Switch (3 Gang 2-Way, Google and Alexa Voice Assisted, SW04, White)","₹2,414",/tata-power-ez-home-16-amps-relay-switch-3-gang-2-way-google-and-alexa-voice-assisted-sw04-white-/p/245954
SAMSUNG Q60D 216 cm (85 inch) QLED 4K Ultra HD Tizen TV with Motion Xcelerator (2024 model),"₹4,49,990",/samsung-q60d-216-cm-85-inch-qled-4k-ultra-hd-tizen-tv-with-motion-xcelerator-2024-model-/p/305623
"noise NoiseFit Endure Smart Watch with 9 Sports Modes (32.5mm TFT LCD Display, IP68 Water Resistant, Charcoal Black Strap)","₹2,199",/noise-noisefit-endure-smart-watch-with-9-sports-modes-32-5mm-tft-lcd-display-ip68-water-resistant-charcoal-black-strap-/p/234991
"FIRE-BOLTT Edge Smartwatch with Bluetooth Calling (45.21mm AMOLED Display, IP67 Water Resistant, Orange Strap)","₹19,999",/fire-boltt-edge-smartwatch-with-bluetooth-calling-45-21mm-amoled-display-ip67-water-resistant-orange-strap-/p/270994
"zunpulse Adara Plus 25 Litres Smart Storage Water Geyser (2000 Watts, White)","₹5,299",/zunpulse-adara-plus-25-litres-smart-storage-water-geyser-2000-watts-white-/p/267267
"PHILIPS Hue Electric Powered 10 Watt Smart Bulb (B22, White)","₹3,465",/philips-hue-electric-powered-10-watt-smart-bulb-b22-white-/p/220499
"FIRE-BOLTT Celcius BSW059 Smartwatch with Activity Tracker (48.5mm Display, IP67 Water Resistant, Black Strap)","₹9,999",/fire-boltt-celcius-bsw059-smartwatch-with-activity-tracker-48-5mm-display-ip67-water-resistant-black-strap-/p/265327
"Haier Kinouchi Pro 7 in 1 Convertible 1.5 Ton 3 Star Triple Inverter Split Smart AC with Anti Dust Filter (2024 Model, Copper Condenser, HSU18KPYFR3BNINV)","₹38,990",/haier-kinouchi-pro-7-in-1-convertible-1-5-ton-3-star-triple-inverter-split-smart-ac-with-anti-dust-filter-2024-model-copper-condenser-hsu18kpyfr3bninv-/p/304749
"in base Urban PRO X Smartwatch with Bluetooth Calling (45.72mm IPS TFT Display, Water Resistant, Pink Strap)","₹7,499",/in-base-urban-pro-x-smartwatch-with-bluetooth-calling-45-72mm-ips-tft-display-water-resistant-pink-strap-/p/260045
"TAGG Verve Ultra Smartwatch with Bluetooth Calling (42.92mm 3D Curved Display, IP68 Waterproof, Black Strap)","₹3,799",/tagg-verve-ultra-smartwatch-with-bluetooth-calling-42-92mm-3d-curved-display-ip68-waterproof-black-strap-/p/246462
